"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
10777,"3SC7","small_airport","Jordan Airport",33.540569,-79.534174,33,"NA","US","US-SC","Andrews","no",,,"SC57","SC57",,,"3SC7"
10778,"3SD3","small_airport","Brown Field",43.811798095703125,-102.72000122070312,2780,"NA","US","US-SD","Scenic","no",,,"3SD3","3SD3",,,
10779,"3SD4","small_airport","Chris Hofer Landing Strip",43.464939,-96.862633,1491,"NA","US","US-SD","Tea","no",,,"3SD4","3SD4",,,
10780,"3SD5","heliport","Dilligaf Heliport",44.22740173339844,-103.77899932861328,6020,"NA","US","US-SD","Lead","no",,,"3SD5","3SD5",,,
10782,"3T0","small_airport","Cedar Mills Airport",33.839298248291016,-96.81009674072266,640,"NA","US","US-TX","Gordonville","no",,,"3T0","3T0",,,
10783,"3T2","small_airport","Wolfe Air Park",29.48,-95.327202,55,"NA","US","US-TX","Manvel","no",,,,"3T2",,,"3TA1"
10784,"3T4","small_airport","Tetlin Airport",63.124618,-142.518005,1663,"NA","US","US-AK","Tetlin","no",,"TEH","3T4","3T4",,,
10835,"3T6","small_airport","Clark Airport",33.133499,-97.2967,705,"NA","US","US-TX","Justin","no",,,"3T6","3T6",,"https://en.wikipedia.org/wiki/Clark_Airport_(Texas)","Formerly 3TX6"
10785,"3T7","small_airport","Middle Bass Island Airport",41.688625,-82.808139,580,"NA","US","US-OH","Middle Bass Island","no",,,"3T7","3T7",,"https://en.wikipedia.org/wiki/Middle_Bass_Island_Airport",
10786,"3T8","small_airport","Wildcat Canyon Airport",31.678800582885742,-97.36280059814453,660,"NA","US","US-TX","China Spring","no",,,"3T8","3T8",,,
10787,"3TA","small_airport","Stafford Municipal Airport",37.959481,-98.6478,1886,"NA","US","US-KS","Stafford","no",,,"3TA","3TA",,,
